nohup: ignoring input
 Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|█████     | 1/2 [00:05<00:05,  5.20s/it] Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.22s/it] Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.52s/it]
Found cached dataset csv (/data/jc/hf/mrm8488___csv/mrm8488--fake-news-d4fd5c02f3284619/0.0.0/6954658bab30a358235fa864b05cf819af0e179325c740e4bc853bcc7ec513e1)
/home/jkl6486/miniconda3/envs/sbit/lib/python3.11/site-packages/transformers/optimization.py:457: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
Epoch 0, Loss: 1.8143527507781982
Epoch 0, Loss: 1.7133930921554565
Epoch 0, Loss: 1.825547695159912
Epoch 0, Loss: 1.7432360649108887
Epoch 0, Loss: 1.7029889822006226
Epoch 0, Loss: 1.3341411352157593
Epoch 0, Loss: 1.5120571851730347
Epoch 0, Loss: 1.5981782674789429
Epoch 0, Loss: 1.8083126544952393
Epoch 0, Loss: 1.8548277616500854
Epoch 0, Loss: 1.9213210344314575
Epoch 0, Loss: 1.8597595691680908
Epoch 0, Loss: 1.1855956315994263
Epoch 0, Loss: 1.8064466714859009
Epoch 0, Loss: 0.9932029247283936
Epoch 0, Loss: 1.4976187944412231
Epoch 0, Loss: 1.8918240070343018
Epoch 0, Loss: 1.5689687728881836
Epoch 0, Loss: 1.7473543882369995
Epoch 0, Loss: 1.8263424634933472
Epoch 0, Loss: 1.781162977218628
Epoch 0, Loss: 1.6128674745559692
Epoch 0, Loss: 1.5458347797393799
Epoch 0, Loss: 1.164448618888855
Epoch 0, Loss: 1.5291186571121216
Epoch 0, Loss: 1.7387468814849854
Epoch 0, Loss: 1.8505014181137085
Epoch 0, Loss: 1.7420704364776611
Epoch 0, Loss: 1.7249912023544312
Epoch 0, Loss: 1.518401861190796
Epoch 0, Loss: 1.5964053869247437
Epoch 0, Loss: 1.9239838123321533
Epoch 0, Loss: 1.7830520868301392
Epoch 0, Loss: 1.8015390634536743
Epoch 0, Loss: 1.7618838548660278
Epoch 0, Loss: 1.4437000751495361
Epoch 0, Loss: 1.503364086151123
Epoch 0, Loss: 1.24583899974823
Epoch 0, Loss: 1.7127978801727295
Epoch 0, Loss: 1.3277357816696167
Epoch 0, Loss: 1.6950409412384033
Epoch 0, Loss: 1.5052261352539062
Epoch 0, Loss: 1.7511552572250366
Epoch 0, Loss: 1.4842265844345093
Epoch 0, Loss: 1.72886061668396
Epoch 0, Loss: 1.9759691953659058
Epoch 0, Loss: 1.5531840324401855
Epoch 0, Loss: 1.7517033815383911
Epoch 0, Loss: 1.3140188455581665
Epoch 0, Loss: 0.5768640637397766
Epoch 0, Loss: 1.5735576152801514
Epoch 0, Loss: 0.9518589377403259
Epoch 0, Loss: 1.2762155532836914
Epoch 0, Loss: 1.477442741394043
Epoch 0, Loss: 1.323473572731018
Epoch 0, Loss: 1.8102424144744873
Epoch 0, Loss: 1.8926973342895508
Epoch 0, Loss: 1.4091845750808716
Epoch 0, Loss: 1.736053466796875
Epoch 0, Loss: 2.211951732635498
Epoch 0, Loss: 1.8940244913101196
Epoch 0, Loss: 1.807076334953308
Epoch 0, Loss: 0.8778324723243713
Epoch 0, Loss: 1.103249192237854
Epoch 0, Loss: 1.5030231475830078
Epoch 0, Loss: 1.4900460243225098
Epoch 0, Loss: 1.2784068584442139
Epoch 0, Loss: 1.737089991569519
Epoch 0, Loss: 1.6892833709716797
Epoch 0, Loss: 1.9215612411499023
Epoch 0, Loss: 1.3005820512771606
Epoch 0, Loss: 1.2155734300613403
Epoch 0, Loss: 1.3312175273895264
Epoch 0, Loss: 1.2412878274917603
Epoch 0, Loss: 1.2131701707839966
Epoch 0, Loss: 1.615797758102417
Epoch 0, Loss: 1.6538175344467163
Epoch 0, Loss: 1.6541329622268677
Epoch 0, Loss: 1.105541706085205
Epoch 0, Loss: 1.5125097036361694
Epoch 0, Loss: 1.7639063596725464
Epoch 0, Loss: 1.8072171211242676
Epoch 0, Loss: 1.7714370489120483
Epoch 0, Loss: 1.3691840171813965
Epoch 0, Loss: 1.7351425886154175
Epoch 0, Loss: 1.5332000255584717
Epoch 0, Loss: 1.6494859457015991
Epoch 0, Loss: 1.334478497505188
Epoch 0, Loss: 2.0140740871429443
Epoch 0, Loss: 1.6452375650405884
Epoch 0, Loss: 1.4622838497161865
Epoch 0, Loss: 1.459336280822754
Epoch 0, Loss: 1.7548367977142334
Epoch 0, Loss: 1.8837182521820068
Epoch 0, Loss: 1.7672070264816284
Epoch 0, Loss: 1.6017271280288696
Epoch 0, Loss: 1.6553623676300049
Epoch 0, Loss: 1.1102491617202759
Epoch 0, Loss: 1.3042807579040527
Epoch 0, Loss: 1.3187750577926636
Epoch 0, Loss: 1.0963503122329712
Epoch 0, Loss: 2.0934622287750244
Epoch 0, Loss: 1.164696455001831
Epoch 0, Loss: 1.8740893602371216
Epoch 0, Loss: 1.7512538433074951
Epoch 0, Loss: 1.1714011430740356
Epoch 0, Loss: 1.1062607765197754
Epoch 0, Loss: 1.5010769367218018
Epoch 0, Loss: 1.8926496505737305
Epoch 0, Loss: 1.4259954690933228
Epoch 0, Loss: 1.5633327960968018
Epoch 0, Loss: 1.616271734237671
Epoch 0, Loss: 1.7418205738067627
Epoch 0, Loss: 1.618213176727295
Epoch 0, Loss: 1.8888013362884521
Epoch 0, Loss: 1.6461968421936035
Epoch 0, Loss: 1.68839430809021
Epoch 0, Loss: 1.3589873313903809
Epoch 0, Loss: 1.6708836555480957
Epoch 0, Loss: 1.4464232921600342
Epoch 0, Loss: 1.5177680253982544
Epoch 0, Loss: 1.819642424583435
Epoch 0, Loss: 1.6831824779510498
Epoch 0, Loss: 1.3805545568466187
Epoch 0, Loss: 1.1531848907470703
Epoch 0, Loss: 1.0877896547317505
Epoch 0, Loss: 1.6197706460952759
Epoch 0, Loss: 1.816988468170166
Epoch 0, Loss: 1.4569940567016602
Epoch 0, Loss: 1.5999484062194824
Epoch 0, Loss: 1.3633774518966675
Epoch 0, Loss: 1.8156412839889526
Epoch 0, Loss: 1.888015866279602
Epoch 0, Loss: 1.8783372640609741
Epoch 0, Loss: 1.7860132455825806
Epoch 0, Loss: 1.9038382768630981
Epoch 0, Loss: 1.3604639768600464
Epoch 0, Loss: 1.578508973121643
Epoch 0, Loss: 1.4515066146850586
Epoch 0, Loss: 1.2713953256607056
Epoch 0, Loss: 1.5610222816467285
Epoch 0, Loss: 1.3614511489868164
Epoch 0, Loss: 1.1037832498550415
Epoch 0, Loss: 1.1861134767532349
Epoch 0, Loss: 1.9684845209121704
Epoch 0, Loss: 1.4340651035308838
Epoch 0, Loss: 1.4812389612197876
Epoch 0, Loss: 1.7410320043563843
Epoch 0, Loss: 1.9136440753936768
Epoch 0, Loss: 1.2377680540084839
Epoch 0, Loss: 1.9671651124954224
Epoch 0, Loss: 1.0378681421279907
Epoch 0, Loss: 2.0077261924743652
Epoch 0, Loss: 1.6171590089797974
Epoch 0, Loss: 1.6793879270553589
Epoch 0, Loss: 1.7321248054504395
Epoch 0, Loss: 2.012274980545044
Epoch 0, Loss: 1.5653947591781616
Epoch 0, Loss: 1.7730449438095093
Epoch 0, Loss: 1.4414176940917969
Epoch 0, Loss: 1.8097050189971924
Epoch 0, Loss: 1.7977224588394165
Epoch 0, Loss: 1.5729256868362427
Epoch 0, Loss: 1.866758108139038
Epoch 0, Loss: 1.2340781688690186
Epoch 0, Loss: 1.4711037874221802
Epoch 0, Loss: 1.6373571157455444
Epoch 0, Loss: 1.4202044010162354
Epoch 0, Loss: 1.6507762670516968
Epoch 0, Loss: 1.3400932550430298
Epoch 0, Loss: 1.3673220872879028
Epoch 0, Loss: 1.7916985750198364
Epoch 0, Loss: 1.0771342515945435
Epoch 0, Loss: 1.6656813621520996
Epoch 0, Loss: 0.9733676910400391
Epoch 0, Loss: 1.542958378791809
Epoch 0, Loss: 1.6062513589859009
Epoch 0, Loss: 1.886666178703308
Epoch 0, Loss: 1.7911654710769653
Epoch 0, Loss: 1.6834595203399658
Epoch 0, Loss: 1.3747674226760864
Epoch 0, Loss: 0.9258522391319275
Epoch 0, Loss: 1.5832374095916748
Epoch 0, Loss: 2.2130985260009766
Epoch 0, Loss: 1.8049074411392212
Epoch 0, Loss: 1.384752631187439
Epoch 0, Loss: 1.6120389699935913
Epoch 0, Loss: 1.6794840097427368
Epoch 0, Loss: 1.803740382194519
Epoch 0, Loss: 1.9305740594863892
Epoch 0, Loss: 1.824101209640503
Epoch 0, Loss: 1.276572823524475
Epoch 0, Loss: 1.4309405088424683
Epoch 0, Loss: 0.8687965869903564
Epoch 0, Loss: 1.3747888803482056
Epoch 0, Loss: 1.8530616760253906
Epoch 0, Loss: 1.4800711870193481
Epoch 0, Loss: 1.8341068029403687
Epoch 0, Loss: 1.8648560047149658
Epoch 0, Loss: 2.0232250690460205
Epoch 0, Loss: 1.7010208368301392
Epoch 0, Loss: 1.3935365676879883
Epoch 0, Loss: 1.3839362859725952
Epoch 0, Loss: 1.4524718523025513
Epoch 0, Loss: 2.0881221294403076
Epoch 0, Loss: 1.5663679838180542
Epoch 0, Loss: 1.2500637769699097
Epoch 0, Loss: 1.2729030847549438
Epoch 0, Loss: 1.5137823820114136
Epoch 0, Loss: 1.7848598957061768
Epoch 0, Loss: 1.2211793661117554
Epoch 0, Loss: 1.4081284999847412
Epoch 0, Loss: 1.5480295419692993
Epoch 0, Loss: 1.5571521520614624
Epoch 0, Loss: 1.8297483921051025
Epoch 0, Loss: 1.257231593132019
Epoch 0, Loss: 1.6286602020263672
Epoch 0, Loss: 1.50032639503479
Epoch 0, Loss: 2.0541906356811523
Epoch 0, Loss: 1.5117944478988647
Epoch 0, Loss: 1.7951908111572266
Epoch 0, Loss: 1.7882769107818604
Epoch 0, Loss: 1.4462254047393799
Epoch 0, Loss: 1.1437638998031616
Epoch 0, Loss: 1.676855206489563
Epoch 0, Loss: 1.7189828157424927
Epoch 0, Loss: 1.3686035871505737
Epoch 0, Loss: 1.8171148300170898
Epoch 0, Loss: 1.4979554414749146
Epoch 0, Loss: 1.6648213863372803
Epoch 0, Loss: 1.3851875066757202
Epoch 0, Loss: 1.4138450622558594
Epoch 0, Loss: 1.847339391708374
Epoch 0, Loss: 1.6113265752792358
Epoch 0, Loss: 1.7738971710205078
Epoch 0, Loss: 1.6549197435379028
Epoch 0, Loss: 1.2419291734695435
Epoch 0, Loss: 1.4767669439315796
Epoch 0, Loss: 2.073817491531372
Epoch 0, Loss: 1.457834005355835
Epoch 0, Loss: 2.0340306758880615
